{'position': {'x': 943.390381, 'y': 448.299988, 'z': -1024.67041}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 971.914551, 'y': 450.511932, 'z': -948.543457}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 943.006592, 'y': 448.299988, 'z': -1001.921326}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 933.389954, 'y': 448.487488, 'z': -985.889465}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 915.072937, 'y': 448.788361, 'z': -1026.437134}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 993.873535, 'y': 448.299988, 'z': -1065.042725}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1025.174072, 'y': 416.869629, 'z': -948.452148}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1017.950317, 'y': 367.091858, 'z': -961.555237}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 964.724426, 'y': 323.051331, 'z': -958.436768}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1032.277832, 'y': 417.060089, 'z': -931.338318}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1028.949951, 'y': 416.820374, 'z': -946.932983}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 958.874817, 'y': 323.35907, 'z': -945.539124}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1000.593018, 'y': 323.154633, 'z': -927.500977}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 996.331055, 'y': 367.009399, 'z': -972.609009}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 972.20752, 'y': 323.283386, 'z': -963.874756}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 967.200684, 'y': 322.883392, 'z': -948.582703}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1011.777771, 'y': 366.791656, 'z': -981.045532}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 964.710449, 'y': 323.046692, 'z': -961.370361}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1037.088623, 'y': 416.729553, 'z': -939.987671}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1034.892212, 'y': 416.824585, 'z': -942.294678}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 999.070801, 'y': 326.006683, 'z': -903.66217}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1015.129639, 'y': 440.241241, 'z': -974.628296}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1030.235352, 'y': 416.899902, 'z': -939.31427}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1009.855591, 'y': 327.792358, 'z': -913.2146}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1023.665649, 'y': 367.002991, 'z': -970.34082}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1021.547546, 'y': 323.43045, 'z': -927.224731}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 993.087891, 'y': 326.040009, 'z': -908.833252}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 961.934143, 'y': 323.251556, 'z': -959.708008}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1006.029541, 'y': 322.99881, 'z': -920.650269}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1030.185425, 'y': 416.837036, 'z': -942.187012}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 993.63385, 'y': 325.620422, 'z': -905.778625}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 992.606934, 'y': 326.243042, 'z': -910.631104}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1022.384827, 'y': 416.764709, 'z': -935.519653}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1034.968384, 'y': 416.795105, 'z': -947.230225}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 957.364746, 'y': 323.278778, 'z': -958.147583}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1031.940796, 'y': 416.964172, 'z': -955.189148}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1017.29126, 'y': 323.305054, 'z': -926.890991}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1021.960449, 'y': 367.070435, 'z': -964.431519}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 972.128662, 'y': 337.135254, 'z': -941.94397}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 956.181763, 'y': 323.264343, 'z': -949.449524}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1001.523926, 'y': 366.825531, 'z': -986.159424}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1031.280273, 'y': 417.023773, 'z': -931.664673}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1005.051697, 'y': 366.857147, 'z': -986.099854}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1000.148376, 'y': 327.714661, 'z': -916.361206}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1000.977905, 'y': 327.393311, 'z': -911.766541}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1002.621704, 'y': 327.340271, 'z': -911.367065}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1000.688599, 'y': 366.845276, 'z': -987.019409}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 973.25061, 'y': 323.502075, 'z': -950.199585}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1031.075806, 'y': 366.710266, 'z': -964.583496}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 973.981934, 'y': 323.460907, 'z': -950.730225}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 994.565552, 'y': 326.357788, 'z': -909.358154}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 981.375183, 'y': 323.067657, 'z': -960.896973}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1002.020264, 'y': 327.086853, 'z': -909.35791}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 997.888123, 'y': 366.80545, 'z': -982.304565}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 972.125732, 'y': 323.443481, 'z': -951.741821}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1002.31665, 'y': 323.181427, 'z': -922.351807}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1014.791382, 'y': 323.317261, 'z': -916.424072}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1023.808228, 'y': 323.399261, 'z': -924.042725}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 998.527649, 'y': 366.990234, 'z': -966.187134}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1006.503418, 'y': 322.900085, 'z': -923.440491}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 996.765137, 'y': 326.665222, 'z': -908.993164}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 962.468628, 'y': 323.264893, 'z': -942.440918}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 963.773926, 'y': 323.145355, 'z': -959.096497}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave_water', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1022.595337, 'y': 367.006958, 'z': -970.300415}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1008.319946, 'y': 366.98999, 'z': -988.375183}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1007.014282, 'y': 366.742615, 'z': -979.327148}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1026.033081, 'y': 416.826599, 'z': -938.238525}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1041.978271, 'y': 416.694458, 'z': -947.218262}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 996.662598, 'y': 366.843994, 'z': -984.306152}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1037.70459, 'y': 416.760162, 'z': -943.723999}, 'level_range': {'x': 25.0, 'y': 32.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 992.805298, 'y': 366.867645, 'z': -978.428345}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1024.147583, 'y': 366.988129, 'z': -966.772034}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1022.640869, 'y': 367.045349, 'z': -976.182495}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1004.147888, 'y': 366.739777, 'z': -977.772278}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1028.720337, 'y': 366.846252, 'z': -970.834045}, 'level_range': {'x': 25.0, 'y': 33.0}, 'biome': 'cave', 'substance': 'iwa', 'area_no': 6}
