{'position': {'x': 1000.90564, 'y': 161.346558, 'z': -2831.185791}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 855.901184, 'y': 156.418015, 'z': -2642.60791}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1144.434814, 'y': 153.241791, 'z': -3000.940918}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1169.64856, 'y': 154.237305, 'z': -3000.847656}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 606.824097, 'y': 153.227875, 'z': -2929.813477}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1393.44043, 'y': 150.836456, 'z': -3046.700684}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 916.337402, 'y': 139.766342, 'z': -2979.722656}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1177.959961, 'y': 152.714966, 'z': -3010.664795}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 747.391541, 'y': 160.912659, 'z': -2701.667725}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 554.133728, 'y': 154.263779, 'z': -2922.872314}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'rocky_area', 'substance': 'shiba_kare', 'area_no': 10}
{'position': {'x': 794.225464, 'y': 159.903275, 'z': -2709.321533}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 800.271057, 'y': 153.821091, 'z': -2882.11084}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1139.536865, 'y': 152.409042, 'z': -3006.06958}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1152.919678, 'y': 163.566711, 'z': -2835.860352}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1258.191895, 'y': 157.506241, 'z': -2953.907227}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 798.073853, 'y': 160.175385, 'z': -2702.802979}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 605.037537, 'y': 150.625259, 'z': -2705.597656}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 880.211426, 'y': 163.193848, 'z': -2850.399414}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1379.470825, 'y': 150.345963, 'z': -3039.17749}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 938.30072, 'y': 149.968399, 'z': -2932.138428}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1285.172485, 'y': 151.653397, 'z': -2878.38916}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 651.941101, 'y': 161.265854, 'z': -2783.949707}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 922.55835, 'y': 157.402054, 'z': -2616.791748}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1029.133179, 'y': 146.533875, 'z': -3001.322021}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 676.790833, 'y': 159.288254, 'z': -2820.149414}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1406.904297, 'y': 151.922409, 'z': -3062.574707}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1011.436218, 'y': 163.257416, 'z': -2863.83252}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1071.546753, 'y': 162.504349, 'z': -2923.42749}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1254.640381, 'y': 154.224289, 'z': -2730.831299}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1150.799194, 'y': 161.746674, 'z': -2890.260742}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1336.432739, 'y': 150.707382, 'z': -2868.607422}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1115.295166, 'y': 161.442154, 'z': -2878.18335}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 591.706055, 'y': 159.201981, 'z': -2777.032227}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1129.325684, 'y': 151.869598, 'z': -2701.213379}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 766.527344, 'y': 156.513412, 'z': -2628.72876}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1240.916626, 'y': 164.844376, 'z': -2824.027344}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1045.380859, 'y': 165.766647, 'z': -2893.27124}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 747.488831, 'y': 159.151352, 'z': -2646.925293}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1350.427734, 'y': 151.719193, 'z': -3057.717285}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 632.149414, 'y': 159.521454, 'z': -2863.200195}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 808.932251, 'y': 150.125137, 'z': -2572.214355}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1282.363037, 'y': 151.198868, 'z': -2886.5625}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 888.215149, 'y': 154.125504, 'z': -2927.038818}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1250.27771, 'y': 163.14534, 'z': -2828.009277}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1146.221191, 'y': 161.966263, 'z': -2961.285156}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 763.090454, 'y': 150.03241, 'z': -2966.955811}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1207.459961, 'y': 153.601517, 'z': -3036.793457}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 747.380066, 'y': 152.608368, 'z': -2818.025635}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 937.973022, 'y': 157.462051, 'z': -2609.645264}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1038.69519, 'y': 154.671387, 'z': -2576.650146}, 'level_range': {'x': 19.0, 'y': 21.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1085.192749, 'y': 163.318008, 'z': -2915.041504}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 986.619873, 'y': 152.105225, 'z': -2587.497559}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1357.421631, 'y': 150.21669, 'z': -2989.847412}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1053.927124, 'y': 168.632217, 'z': -2873.066162}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1059.812622, 'y': 157.770111, 'z': -2663.281738}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 809.212952, 'y': 159.37558, 'z': -2698.983154}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1021.935486, 'y': 150.125137, 'z': -2705.912842}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 630.764343, 'y': 157.773499, 'z': -2820.827881}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 877.172424, 'y': 132.375504, 'z': -3014.850098}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1139.84436, 'y': 153.307419, 'z': -3161.637207}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'ruins', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1136.607422, 'y': 152.112366, 'z': -3089.188477}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 967.182739, 'y': 150.874939, 'z': -2637.225098}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 853.284241, 'y': 152.016357, 'z': -2817.120117}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1121.74646, 'y': 153.343735, 'z': -2765.006348}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 934.934387, 'y': 159.486938, 'z': -2599.704102}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1344.111328, 'y': 151.082733, 'z': -3010.561279}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 719.787476, 'y': 152.022552, 'z': -2632.797363}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1309.929688, 'y': 151.833466, 'z': -3053.06958}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 799.966064, 'y': 154.798157, 'z': -2616.529297}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1241.196411, 'y': 163.276978, 'z': -2832.885986}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 935.954529, 'y': 150.560165, 'z': -2683.43335}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 912.77417, 'y': 155.774551, 'z': -2626.336426}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 851.896057, 'y': 151.274445, 'z': -2789.812012}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1130.694458, 'y': 151.635025, 'z': -3059.55127}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1132.927002, 'y': 162.974396, 'z': -2934.091309}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1312.695557, 'y': 150.302155, 'z': -2910.942871}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 934.152283, 'y': 154.25177, 'z': -2917.976318}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1028.057007, 'y': 163.21666, 'z': -2824.931396}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1038.907959, 'y': 167.468384, 'z': -2855.883301}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1129.773193, 'y': 157.240845, 'z': -2803.096436}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1090.196777, 'y': 150.662933, 'z': -3132.0896}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1385.286499, 'y': 150.033569, 'z': -3025.25}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1229.507202, 'y': 164.976868, 'z': -2831.794922}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1286.340454, 'y': 155.57811, 'z': -2959.751953}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1061.09729, 'y': 149.452728, 'z': -3002.108398}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1114.644287, 'y': 161.927032, 'z': -2843.436768}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 880.961975, 'y': 157.719711, 'z': -2598.040283}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1263.369873, 'y': 152.431213, 'z': -2866.128906}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1320.610107, 'y': 153.746399, 'z': -3006.701904}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1180.855103, 'y': 168.035583, 'z': -2916.883057}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1015.439331, 'y': 157.560394, 'z': -2902.516113}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 849.577087, 'y': 159.356384, 'z': -2879.964111}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 717.57312, 'y': 159.112122, 'z': -2744.375732}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1093.017212, 'y': 155.45842, 'z': -2636.175293}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 10}
{'position': {'x': 1044.796021, 'y': 197.172501, 'z': -3080.134521}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1042.654663, 'y': 152.328812, 'z': -2686.647217}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1043.492798, 'y': 159.719971, 'z': -2786.424805}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 992.323853, 'y': 150.064102, 'z': -2690.400879}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1282.526367, 'y': 155.477859, 'z': -3120.431885}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 716.117371, 'y': 158.798157, 'z': -2741.397217}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1071.558594, 'y': 169.754379, 'z': -2844.940918}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1011.404663, 'y': 153.933853, 'z': -2796.049561}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1266.664429, 'y': 161.468033, 'z': -2797.371582}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 743.545349, 'y': 160.190323, 'z': -2706.238037}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1024.589355, 'y': 150.561447, 'z': -2945.631348}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 952.240234, 'y': 162.378815, 'z': -2821.259033}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1356.094238, 'y': 150.003052, 'z': -2960.249268}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1242.345337, 'y': 165.233383, 'z': -2804.535889}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1113.362915, 'y': 161.37915, 'z': -2896.812744}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1368.635986, 'y': 150.003052, 'z': -2957.644775}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1297.178223, 'y': 157.849106, 'z': -2984.383789}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1194.647217, 'y': 165.64238, 'z': -2851.108643}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1193.076782, 'y': 169.077927, 'z': -2817.375244}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 554.810242, 'y': 143.073441, 'z': -2666.329834}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 924.042419, 'y': 150.560074, 'z': -2668.356934}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 626.003845, 'y': 156.89064, 'z': -2898.529541}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1064.196533, 'y': 196.198959, 'z': -3056.326904}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 941.666504, 'y': 160.240051, 'z': -2894.137695}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1116.658691, 'y': 161.114685, 'z': -2894.142822}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 804.458191, 'y': 157.932205, 'z': -2630.766846}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1100.138306, 'y': 150.033569, 'z': -3045.341309}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1204.733765, 'y': 164.769913, 'z': -2970.238281}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1173.583862, 'y': 153.490662, 'z': -3005.123047}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1031.188232, 'y': 177.827301, 'z': -2760.890625}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 484.854675, 'y': 153.140549, 'z': -2832.746094}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1146.834473, 'y': 158.952301, 'z': -2804.184082}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1216.231689, 'y': 156.887543, 'z': -3056.94873}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1014.302307, 'y': 160.79921, 'z': -2824.408203}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1166.709229, 'y': 163.415085, 'z': -2885.730713}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1279.751709, 'y': 154.981567, 'z': -2951.429932}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1061.634277, 'y': 157.3853, 'z': -2945.944092}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1389.25354, 'y': 150.82309, 'z': -3045.866455}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 661.131653, 'y': 158.457138, 'z': -2870.60498}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 976.73584, 'y': 151.750732, 'z': -2625.507324}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1260.609985, 'y': 162.744659, 'z': -2792.082764}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 877.791748, 'y': 162.8582, 'z': -2879.128418}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 911.095581, 'y': 163.745148, 'z': -2887.483154}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1277.335327, 'y': 155.261322, 'z': -3077.408691}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 809.570374, 'y': 138.562744, 'z': -2973.981201}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 984.563599, 'y': 144.494659, 'z': -2963.836426}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1149.770752, 'y': 153.745453, 'z': -2767.343262}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1250.880859, 'y': 155.295151, 'z': -2859.286865}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1207.705078, 'y': 159.472427, 'z': -2988.517334}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1325.227661, 'y': 151.352524, 'z': -2956.195313}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
